,종목코드,종목명,시간,종가,대비,시가,고가,저가,매도호가,매수호가,거래량,거래대금,예상체결가 구분 플래그,예상체결가,예상체결가 전일대비,예상체결수량
17,A000180,성창기업지주,1553,2710,15,2675,2750,2675,2715,2710,167276,45332,50,2710,15.0,2859
18,A000210,DL,1559,70500,-400,71100,71700,70200,70600,70500,63396,448725,50,70500,-400.0,1697
19,A000215,DL우,1530,44050,-50,44550,44550,43500,44050,44000,2396,10488,50,44050,-50.0,9
20,A000220,유유제약,1551,8170,-110,8260,8400,8160,8190,8170,86905,71474,50,8170,-110.0,908
21,A000225,유유제약1우,1530,10300,100,10600,10600,10200,10300,10200,8287,8516,50,10300,100.0,325
22,A000227,유유제약2우B,1500,24000,-250,24250,24250,24000,24050,24000,272,654,50,24000,-250.0,92
23,A000230,일동홀딩스,1549,13250,250,13000,13500,12900,13300,13250,23198,30807,50,13250,250.0,189
24,A000240,한국앤컴퍼니,1554,16300,100,16250,16550,16100,16350,16300,175927,286662,50,16300,100.0,6422
25,A000270,기아,1559,82600,-1600,84700,84700,82600,82700,82600,1251915,10409587,50,82600,-1600.0,64797
26,A000300,대유플러스,1549,1380,-10,1395,1420,1370,1385,1380,1050158,146004,50,1380,-10.0,42143
27,A000320,노루홀딩스,1555,12900,50,12900,13050,12700,12900,12850,14199,18265,50,12900,50.0,229
28,A000325,노루홀딩스우,1547,49200,-1400,51000,51000,49000,49250,49200,4998,24888,50,49200,-1400.0,287
29,A000370,한화손해보험,1557,4320,10,4315,4450,4310,4320,4315,175556,76508,50,4320,10.0,3893
30,A000390,삼화페인트,1548,10150,-200,10300,10500,10100,10200,10150,71163,72800,50,10150,-200.0,1948
31,A000400,롯데손해보험,1557,1845,25,1835,1860,1815,1850,1845,367544,67777,50,1845,25.0,14915
32,A000430,대원강업,1545,4260,-30,4295,4330,4260,4265,4260,181862,77954,50,4260,-30.0,3171
33,A000480,조선내화,1530,89900,400,89900,89900,89300,89900,89500,534,4786,50,89900,400.0,46
34,A000490,대동,1552,10450,50,10550,10700,10250,10450,10400,372515,390196,50,10450,50.0,15348
35,A000500,가온전선,1530,29000,200,28800,29300,28750,29000,28900,10304,29832,50,29000,200.0,311
36,A000520,삼일제약,1552,8880,-130,9030,9070,8850,8920,8880,135226,120701,50,8880,-130.0,1457
37,A000540,흥국화재,1540,3800,40,3745,3880,3745,3800,3795,62635,23633,50,3800,40.0,2089
38,A000545,흥국화재우,1530,9280,-110,9400,9400,9270,9300,9280,1606,1495,50,9280,-110.0,101
39,A000547,흥국화재2우B,1530,29600,350,29000,29650,28500,29600,29500,1303,3824,50,29600,350.0,49
40,A000590,CS홀딩스,1540,62700,-100,61900,63000,61600,62900,62700,2349,14676,50,62700,-100.0,16
41,A000640,동아쏘시오홀딩스,1555,120000,1500,118500,121000,117500,120000,119500,10787,128806,50,120000,1500.0,445
42,A000650,천일고속,1559,69400,-200,69600,69900,69300,69400,69300,451,3135,50,69400,-200.0,20
43,A000660,SK하이닉스,1558,104000,-1500,106000,106500,104000,104500,104000,2236954,23436473,50,104000,-1500.0,252144
44,A000670,영풍,1530,696000,-3000,700000,706000,692000,696000,695000,770,53607,50,696000,-3000.0,52
45,A000680,LS네트웍스,1549,3865,-40,3905,3945,3845,3870,3865,149688,58118,50,3865,-40.0,5343
46,A000700,유수홀딩스,1552,6000,20,5980,6030,5910,6000,5980,29611,17648,50,6000,20.0,2582
47,A000720,현대건설,1559,53200,-1400,54900,55300,52600,53300,53200,765444,4092445,50,53200,-1400.0,16402
48,A000725,현대건설우,1554,187000,3000,183000,188000,182500,187500,187000,562,10435,50,187000,3000.0,50
49,A000760,이화산업,1530,17400,-250,17550,17650,17350,17500,17400,2655,4650,50,17400,-250.0,316
50,A000810,삼성화재,1559,228500,1000,228000,230500,226500,229000,228500,57009,1304212,50,228500,1000.0,6467
51,A000815,삼성화재우,1559,172500,1500,172000,173500,172000,173000,172500,4902,84721,50,172500,1500.0,50
52,A000850,화천기공,1530,37900,250,37200,37950,37200,37900,37650,10721,40335,50,37900,250.0,147
53,A000860,강남제비스코,1530,26650,-500,27000,27300,26600,26750,26650,13242,35544,50,26650,-500.0,1141
54,A000880,한화,1558,34650,-300,35150,36300,34550,34700,34650,477457,1689029,50,34650,-300.0,9803
55,A000885,한화우,1530,41800,-450,42350,42400,41550,41800,41750,1106,4628,50,41800,-450.0,51
56,A00088K,한화3우B,1559,16550,-50,16650,16900,16500,16600,16550,53157,88756,50,16550,-50.0,1447
57,A000890,보해양조,1556,1000,0,1005,1015,1000,1005,1000,847458,85251,50,1000,0.0,17688
58,A000910,유니온,1540,6320,-40,6300,6430,6290,6320,6310,86583,54965,50,6320,-40.0,2415
59,A000950,전방,1546,44200,-1500,44700,46400,44100,44550,44200,12389,56594,50,44200,-1500.0,293
60,A000970,한국주철관,1552,10500,150,10350,10550,10300,10500,10450,180079,187553,50,10500,150.0,2218
61,A000990,DB하이텍,1559,56700,-200,57200,57600,56500,56800,56700,346983,1975630,50,56700,-200.0,9821
62,A000995,DB하이텍1우,1530,106000,-1500,107500,107500,105500,106500,106000,366,3880,50,106000,-1500.0,56
63,A001020,페이퍼코리아,1548,2395,0,2410,2460,2360,2395,2390,221435,53097,50,2395,0.0,4723
64,A001040,CJ,1553,102000,-500,103000,104000,100500,102000,101500,81040,824067,50,102000,-500.0,3488
65,A001045,CJ우,1548,62000,-400,62400,62600,61800,62200,62000,441,2745,50,62000,-400.0,28
66,A00104K,CJ4우(전환),1558,82300,-100,83000,83000,81300,82300,82100,6414,52431,50,82300,-100.0,335
67,A001060,JW중외제약,1558,26150,0,26000,26300,26000,26150,26100,48424,126286,50,26150,0.0,1163
68,A001065,JW중외제약우,1530,34800,-100,34900,35000,34800,34900,34800,312,1088,50,34800,-100.0,106
69,A001067,JW중외제약2우B,1530,60000,-500,59700,60000,58000,60000,59800,355,2104,50,60000,-500.0,133
70,A001070,대한방직,1530,43600,-50,43650,43900,43550,43650,43600,3735,16306,50,43600,-50.0,30
71,A001080,만호제강,1550,21600,0,21600,21900,21500,21600,21500,4078,8799,50,21600,0.0,113
72,A001120,LX인터내셔널,1558,28950,-300,29400,30300,28950,29000,28950,254745,750199,50,28950,-300.0,5765
73,A001130,대한제분,1544,167000,1500,165500,168000,164500,167000,166500,2491,41376,50,167000,1500.0,121
74,A001140,국보,1546,1515,5,1555,1600,1510,1520,1515,2665442,414205,50,1515,5.0,41209
